Week,Severe,Moderate,Asymptomatic,Admit,ICU,Outpatient
1,"0,0084","0,0158","0,0146","-0,055","0,0035","0,03915"
1,"0,0749","0,096","0,1895","-0,0515","0,008","0,099"
1,"0,0663","0,176","0,059","-0,0555","0,0175","0,0355"
1,"0,3606","0,0108","0,1536","0,0605","0,045","0,0285"
1,"0,3421","0,0171","0,3646","0,0795","0,189",0
1,"0,4821","0,099","0,0205","0,0345","0,0125","0,0015"
1,,"0,0118",,"0,035","0,666","0,02"
1,,"0,0113",,"0,0455","0,3945","0,0855"
1,,"0,0847",,"0,0045","0,057","0,0245"
1,,"0,0081",,"-0,05","0,02595","0,15"
1,,"0,0311",,"0,4615","0,0045","0,0475"
1,,,,"0,908","0,644","0,0345"
1,,,,"-0,0275","0,326","0,0816"
1,,,,"1,37","0,0305","0,3915"
1,,,,"1,644","0,09255",
1,,,,"1,846","1,22565",
1,,,,"0,002","2,6813",
1,,,,"0,0595","1,2333",
1,,,,"0,0275","0,0168",
1,,,,"0,1675","0,019",
1,,,,"0,14095","0,04165",
1,,,,"-0,0015","1,4773",
1,,,,"-0,01145","2,07265",
1,,,,"-0,02705","2,4733",
1,,,,"-0,01535","0,04845",
1,,,,"-0,0215","0,50655",
1,,,,"-0,01415","0,09875",
1,,,,"0,58525","0,2199",
1,,,,"1,35125","1,0233",
1,,,,"0,5236","0,99085",
1,,,,"0,29565","1,22585",
1,,,,"0,17635","1,25605",
1,,,,"0,13115","1,30295",
1,,,,"0,19815","0,1096",
1,,,,"0,0262","0,44375",
1,,,,"0,1999","0,56485",
1,,,,"0,21435",,
1,,,,"3,05015",,
1,,,,"1,63265",,
2,"0,71","0,3463","0,4115","1,6935","1,2315","0,10685"
2,"1,4811","0,3079","0,4799","1,5785","0,8625","0,071"
2,"0,3548","1,1522","0,5413","0,2255","1,998","-0,06"
2,"3,0287","1,4142","0,4086","1,678","0,4595","0,2815"
2,"3,502","0,1181","0,4371","1,27","0,3625","0,1135"
2,,"2,0455","0,0212","0,1435","0,6155","0,071"
2,,"1,0414",,"0,8305","1,3925","1,367"
2,,"0,0219",,"0,451","1,1605","0,069"
2,,"0,1366",,"1,744","1,446","0,7595"
2,,"0,1613",,"2,0565","1,435","0,0515"
2,,"0,2185",,"0,842","1,5265","0,0365"
2,,"0,2333",,"1,2385","0,031","-0,03255"
2,,"0,028",,"1,681","0,018","0,813"
2,,"0,1453",,"0,009","0,0125","0,3205"
2,,"0,0094",,"0,0085","0,116",
2,,"0,18",,"-0,0525","0,387",
2,,"0,3384",,"0,012","0,8045",
2,,"0,2274",,"0,0185","1,735",
2,,,,"0,5015","0,0435",
2,,,,"0,852","0,074",
2,,,,"1,3425","0,0415",
2,,,,"0,1535","0,1975",
2,,,,"0,363","0,477",
2,,,,"0,625","0,0945",
2,,,,"0,7815","0,261",
2,,,,"0,9785","1,1165",
2,,,,"1,934","1,878",
2,,,,"1,509","2,1295",
2,,,,"1,611","2,1355",
2,,,,"1,5975","0,821",
2,,,,"0,962","1,782",
2,,,,"1,077","2,4305",
2,,,,"1,6775","2,6415",
2,,,,"1,47","2,7935",
2,,,,"0,11","3,0445",
2,,,,"0,169","0,418",
2,,,,"0,117","0,922",
2,,,,"0,1215","2,192",
2,,,,"0,2605","1,9545",
2,,,,"0,0625","2,1505",
2,,,,"0,11","0,2575",
2,,,,"0,0375","0,527",
2,,,,"0,0395","0,835",
2,,,,"0,214","0,818",
2,,,,"0,4075","0,85",
2,,,,"1,065","0,914",
2,,,,"0,0505","0,037",
2,,,,"0,342","0,3175",
2,,,,"0,627","0,7015",
2,,,,"2,386","1,1395",
2,,,,"0,1115","1,403",
2,,,,"0,0255","1,3355",
2,,,,"0,161","1,0215",
2,,,,"0,087","1,3555",
2,,,,"0,5535","2,9915",
2,,,,"1,9335","1,7965",
2,,,,"1,383","2,1125",
2,,,,"0,971","1,9835",
2,,,,"2,264","2,148",
2,,,,"0,1895","0,0175",
2,,,,"0,5715","0,9605",
2,,,,"0,9465","2,56395",
2,,,,"0,876","2,5999",
2,,,,"0,181","2,6522",
2,,,,"0,2088","0,53815",
2,,,,"0,8138","1,0922",
2,,,,"0,55305","1,5667",
2,,,,"0,88345","1,5869",
2,,,,"1,66485","0,16345",
2,,,,"1,31885","0,3949",
2,,,,"1,6358","2,7674",
2,,,,"0,05715","2,96855",
2,,,,"0,0251","3,0157",
2,,,,"0,0252","3,0366",
2,,,,"0,13825","3,05405",
2,,,,"0,10685","3,16975",
2,,,,,"3,13085",
2,,,,,"0,10865",
2,,,,,"0,7869",
2,,,,,"0,27265",
2,,,,,"0,8338",
2,,,,,"0,4817",
2,,,,,"2,29865",
2,,,,,"2,53805",
2,,,,,"0,2327",
2,,,,,"0,3851",
2,,,,,"0,8656",
2,,,,,"0,79625",
2,,,,,"0,2588",
2,,,,,"0,2251",
2,,,,,"0,2441",
2,,,,,"1,2663",
2,,,,,"1,38785",
2,,,,,"1,32005",
2,,,,,"1,0957",
2,,,,,"1,8984",
2,,,,,"1,931",
2,,,,,"0,0113",
2,,,,,"0,02095",
2,,,,,"0,1436",
2,,,,,"0,01025",
2,,,,,"0,018",
2,,,,,"0,02275",
3,"1,107","1,5857","0,5946","1,7445","2,375","0,326"
3,"3,7107","1,1041",,"1,018","2,261","0,013"
3,"3,8736","1,3728",,"1,0555","2,4505","0,062"
3,"3,6744","2,6184",,"1,1135","1,9515","0,047"
3,"3,7346","3,2893",,"1,019","2,3065","0,9885"
3,,"0,6904",,"0,4745","2,9615","0,841"
3,,"1,2176",,"1,861","2,7","0,683"
3,,"1,2804",,"1,921","0,625","0,6355"
3,,"3,0569",,"1,5515","1,8845","1,32"
3,,"3,4824",,"1,4975","0,936","2,8205"
3,,"0,6318",,"0,1595","1,7445",
3,,"1,9804",,"1,6895","2,167",
3,,,,"2,131","2,3585",
3,,,,"2,245","1,4815",
3,,,,"0,1685","1,7375",
3,,,,"0,5465","2,0975",
3,,,,"0,8345","1,9615",
3,,,,"1,1485","1,8125",
3,,,,"1,1235","2,556",
3,,,,"0,0195","2,5765",
3,,,,"0,022","2,7815",
3,,,,"1,3655","2,489",
3,,,,"1,2385","2,4225",
3,,,,"1,3565","1,652",
3,,,,"1,3205","2,1535",
3,,,,"0,848","2,0815",
3,,,,"0,811","1,65",
3,,,,"1,7475","1,1705",
3,,,,"1,776","1,8655",
3,,,,"1,13945","1,68",
3,,,,"1,17565","3,199",
3,,,,"0,04905","1,9205",
3,,,,"0,0501","1,7925",
3,,,,"0,05155","2,0665",
3,,,,"0,02925","0,9455",
3,,,,"0,14495","0,03545",
3,,,,"0,2983","0,9675",
3,,,,"0,58665","0,985",
3,,,,"3,07195","0,9605",
3,,,,,"0,9495",
3,,,,,"0,901",
3,,,,,"1,622",
3,,,,,"1,7255",
3,,,,,"1,72",
3,,,,,"1,8245",
3,,,,,"2,376",
3,,,,,"3,074",
3,,,,,"3,181",
3,,,,,"2,3105",
3,,,,,"3,063",
3,,,,,"3,078",
3,,,,,"3,264",
3,,,,,"0,052",
3,,,,,"0,338",
3,,,,,"0,064",
3,,,,,"0,3185",
3,,,,,"0,1265",
3,,,,,"0,078",
3,,,,,"0,4545",
3,,,,,"0,5475",
3,,,,,"2,36435",
3,,,,,"2,6581",
3,,,,,"1,0436",
3,,,,,"1,3435",
3,,,,,"1,4514",
3,,,,,"3,18445",
3,,,,,"3,15185",
3,,,,,"0,45705",
3,,,,,"2,15915",
3,,,,,"3,0142",
3,,,,,"3,0333",
3,,,,,"2,8666",
3,,,,,"3,0203",
3,,,,,"0,36105",
3,,,,,"0,5054",
3,,,,,"0,5421",
3,,,,,"0,856",
3,,,,,"1,3761",
3,,,,,"1,73065",
3,,,,,"1,13515",
3,,,,,"1,2786",
3,,,,,"1,5706",
3,,,,,"1,48845",
3,,,,,"2,5542",
3,,,,,"0,6133",
3,,,,,"0,2071",
3,,,,,"0,2082",
3,,,,,"0,01575",
3,,,,,"1,5029",
3,,,,,"1,7781",
3,,,,,"1,4383",
3,,,,,"1,38195",
3,,,,,"0,82325",
4,"0,6397","0,2981","0,3201","0,974","2,201","1,8474"
4,"3,7708","2,2065","1,7254","0,145","1,939","1,2675"
4,,"1,1771",,"0,7875","2,139","0,8835"
4,,"1,7822",,"0,815","2,1905","1,211"
4,,"3,312",,"0,7735","1,714","0,702"
4,,"3,3876",,"0,9025","1,7385","0,4"
4,,"3,7333",,"0,804","1,897","1,2795"
4,,"2,1716",,"0,15835","2,3705","1,742"
4,,"1,7573",,"0,2478","2,1305","1,368"
4,,,,"0,05925","2,2195","0,2765"
4,,,,"0,05415","2,3785","0,523"
4,,,,"0,0293","2,085","0,456"
4,,,,"0,0257","2,3875","0,634"
4,,,,"3,05105","2,333",
4,,,,,"1,442",
4,,,,,"2,1485",
4,,,,,"1,587",
4,,,,,"2,1385",
4,,,,,"1,451",
4,,,,,"1,4325",
4,,,,,"2,2925",
4,,,,,"0,6285",
4,,,,,"0,715",
4,,,,,"0,6495",
4,,,,,"0,759",
4,,,,,"0,883",
4,,,,,"0,944",
4,,,,,"1,007",
4,,,,,"0,03365",
4,,,,,"1,083",
4,,,,,"0,8975",
4,,,,,"0,9055",
4,,,,,"1,24",
4,,,,,"0,988",
4,,,,,"1,182",
4,,,,,"1,1745",
4,,,,,"2,238",
4,,,,,"1,9405",
4,,,,,"1,429",
4,,,,,"1,543",
4,,,,,"1,6375",
4,,,,,"1,7655",
4,,,,,"1,8995",
4,,,,,"0,538",
4,,,,,"0,4975",
4,,,,,"0,42235",
4,,,,,"0,43325",
4,,,,,"2,01925",
4,,,,,"3,18015",
4,,,,,"3,1834",
4,,,,,"2,6048",
4,,,,,"2,64815",
4,,,,,"2,54785",
4,,,,,"2,693",
4,,,,,"2,7822",
4,,,,,"2,59245",
4,,,,,"2,2425",
4,,,,,"0,41185",
4,,,,,"0,4932",
4,,,,,"0,50115",
4,,,,,"0,30635",
4,,,,,"0,55335",
4,,,,,"1,1343",
4,,,,,"1,6866",
4,,,,,"2,3403",
4,,,,,"2,59895",
4,,,,,"0,3776",
4,,,,,"0,4403",
4,,,,,"0,1702",
4,,,,,"0,0276",
4,,,,,"0,01705",
4,,,,,"1,22795",
4,,,,,"1,18115",
5,"3,3435","2,6223","0,2496","0,733","1,6375","1,368"
5,,"0,4701",,"0,1287","1,836","0,2605"
5,,"2,1225",,"0,11355","1,637","0,2095"
5,,"2,0329",,"0,7784","1,711","0,6995"
5,,,,"0,0674","2,2275","0,142"
5,,,,"0,07055","2,352","1,129"
5,,,,"0,02665","2,171","2,051"
5,,,,,"2,1345","0,9185"
5,,,,,"2,223","0,6295"
5,,,,,"2,1985","1,375"
5,,,,,"0,949","0,559"
5,,,,,"1,5125",
5,,,,,"1,526",
5,,,,,"1,1455",
5,,,,,"1,271",
5,,,,,"0,2011",
5,,,,,"0,7235",
5,,,,,"0,7225",
5,,,,,"0,744",
5,,,,,"0,4815",
5,,,,,"0,4345",
5,,,,,"0,4935",
5,,,,,"0,9805",
5,,,,,"0,97",
5,,,,,"0,942",
5,,,,,"1,056",
5,,,,,"1,175",
5,,,,,"1,39",
5,,,,,"0,3594",
5,,,,,"0,39585",
5,,,,,"1,62365",
5,,,,,"1,83895",
5,,,,,"3,17105",
5,,,,,"3,1696",
5,,,,,"2,58555",
5,,,,,"2,0967",
5,,,,,"2,3761",
5,,,,,"1,86225",
5,,,,,"2,07385",
5,,,,,"0,33795",
5,,,,,"0,3231",
5,,,,,"0,3692",
5,,,,,"0,2399",
5,,,,,"0,28715",
5,,,,,"0,73465",
5,,,,,"0,95315",
5,,,,,"2,0676",
5,,,,,"2,1641",
5,,,,,"0,2925",
5,,,,,"0,09845",
5,,,,,"0,17185",
6,"3,7903","2,5106",,"0,06025","2,1575","1,091"
6,,,,"0,0641","2,0805","0,1445"
6,,,,"0,13745","2,6785","1,394"
6,,,,"0,35895","1,7885","0,035"
6,,,,"1,50385","2,8325","0,438"
6,,,,"2,7887","2,0545","0,0435"
6,,,,"0,02075","2,171","0,1995"
6,,,,"0,01905","0,9395","0,1975"
6,,,,"2,38655","0,08485","1,741"
6,,,,"2,99765","0,2975","0,2205"
6,,,,,"0,2255","0,6155"
6,,,,,"0,211","0,366"
6,,,,,"0,2185","0,489"
6,,,,,"0,3955","0,236"
6,,,,,"0,3245","0,476"
6,,,,,"0,2755","0,1095"
6,,,,,"0,741","0,2895"
6,,,,,"0,884","0,4805"
6,,,,,"0,7475","0,3495"
6,,,,,"0,834","0,6875"
6,,,,,"0,89","0,5925"
6,,,,,"0,8525",
6,,,,,"1,30735",
6,,,,,"1,3835",
6,,,,,"1,42825",
6,,,,,"3,10225",
6,,,,,"3,0843",
6,,,,,"1,5911",
6,,,,,"1,8514",
6,,,,,"1,9727",
6,,,,,"1,67615",
6,,,,,"1,66825",
6,,,,,"0,20105",
6,,,,,"0,23855",
6,,,,,"0,2583",
6,,,,,"0,14475",
6,,,,,"0,1885",
6,,,,,"0,47585",
6,,,,,"1,3699",
6,,,,,"1,8575",
6,,,,,"0,18345",
6,,,,,"0,1476",
7,,,,"0,027","1,3485","1,14805"
7,,,,"1,67985","1,7675","0,13"
7,,,,"2,5988","1,716","0,4645"
7,,,,"0,0206","1,8325","0,314"
7,,,,"2,1486","1,422","0,366"
7,,,,,"1,4835","0,4385"
7,,,,,"1,9565","0,1505"
7,,,,,"0,04645","2,0835"
7,,,,,"0,05115","0,3865"
7,,,,,"0,188","0,867"
7,,,,,"0,2185",
7,,,,,"0,2105",
7,,,,,"0,2475",
7,,,,,"0,2255",
7,,,,,"0,2065",
7,,,,,"0,4395",
7,,,,,"0,488",
7,,,,,"0,5875",
7,,,,,"0,6225",
7,,,,,"0,6255",
7,,,,,"0,6605",
7,,,,,"1,04165",
7,,,,,"3,0266",
7,,,,,"2,92655",
7,,,,,"1,4887",
7,,,,,"1,1625",
7,,,,,"1,6084",
7,,,,,"0,18305",
7,,,,,"0,35",
7,,,,,"1,0537",
7,,,,,"1,2963",
13 or more,"0,0854","0,0546","0,1709","0,12225","0,0221","-0,03685"
13 or more,"3,4747","0,3916","0,0158","0,1803","0,0296","0,01835"
13 or more,,"0,2824",,"0,1642","0,021","0,021"
13 or more,,"1,2605",,"0,19955","0,0235","0,03045"
13 or more,,"0,2173",,"0,15265","0,03825","0,02255"
13 or more,,"0,0724",,"0,03345","0,02275",
13 or more,,"0,2336",,"-0,00105","0,0462",
13 or more,,"0,8038",,"0,12575","0,0664",
13 or more,,"0,1788",,"0,07995",,
13 or more,,"0,4586",,"-0,0483",,
13 or more,,"0,4496",,"-0,03505",,
13 or more,,"1,4943",,"-0,0332",,
13 or more,,"0,0419",,"-0,0389",,
13 or more,,"0,1278",,"-0,0424",,
13 or more,,"0,2541",,"0,0102",,
13 or more,,"0,1774",,"0,73405",,
